t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
12,2,-3.3711121172469185,1.2579801082611084,0.10000000149011612,0.19394920766353607,0.32241782546043396,False,False,42
13,2,-3.544897891652719,1.2950125932693481,0.10000000149011612,0.20000000298023224,0.3516242206096649,False,False,42
14,2,-3.6002683794911015,1.3319220542907715,0.10000000149011612,0.20000000298023224,0.3454747200012207,False,False,42
15,1,-3.677987467849632,1.3155511617660522,0.08637087047100067,0.19500000774860382,0.3629131615161896,False,False,42
16,1,-3.7210688667815663,1.299237847328186,0.0726841539144516,0.1900000125169754,0.3686712980270386,False,False,42
17,2,-3.885960007915515,1.3373351097106934,0.08065983653068542,0.20000000298023224,0.40486299991607666,False,False,42
18,1,-3.89574432822085,1.321323275566101,0.06667164713144302,0.19500000774860382,0.3988186717033386,False,False,42
19,1,-3.8095318012762194,1.3049397468566895,0.05305521935224533,0.1900000125169754,0.36164283752441406,False,False,42
20,1,-3.7382694273974635,1.2882416248321533,0.03975337743759155,0.18500001728534698,0.33018437027931213,False,False,42
21,2,-3.774717636839708,1.3247262239456177,0.048132237046957016,0.19662116467952728,0.32422804832458496,False,False,42
22,1,-3.7130752770725324,1.3076938390731812,0.03516467288136482,0.19162116944789886,0.29675623774528503,False,False,42
23,1,-3.8023288291574473,1.2908844947814941,0.021974047645926476,0.18662117421627045,0.31906259059906006,False,False,42
24,2,-3.8440414526498485,1.3271862268447876,0.030398599803447723,0.1981966197490692,0.31508955359458923,False,False,42
25,1,-4.115498886963299,1.3111494779586792,0.016435321420431137,0.1931966245174408,0.39632776379585266,False,False,42
26,1,-4.013898318491222,1.2946914434432983,0.0028933582361787558,0.18819662928581238,0.35419633984565735,False,False,42
27,2,-4.119901948115009,1.3320975303649902,0.011041831225156784,0.20000000298023224,0.3703053295612335,False,False,42
28,1,-4.0726387988527755,1.3155622482299805,-0.0024228361435234547,0.19500000774860382,0.3464667499065399,False,False,42
29,1,-4.082149351438618,1.2989789247512817,-0.015839483588933945,0.1900000125169754,0.34166470170021057,False,False,42
30,2,-4.178011098732042,1.3360971212387085,-0.007619020063430071,0.20000000298023224,0.35590729117393494,False,False,42
31,1,-4.01945802903309,1.3190585374832153,-0.020580481737852097,0.19500000774860382,0.2961461544036865,False,False,42
32,1,-4.092699878528394,1.3021910190582275,-0.03371299058198929,0.1900000125169754,0.31325092911720276,False,False,42
33,1,-4.320585145725616,1.2859944105148315,-0.04751637205481529,0.18500001728534698,0.3803381621837616,False,False,42
34,2,-4.368030881564997,1.3235291242599487,-0.039400048553943634,0.1968836933374405,0.37673500180244446,False,False,42
35,1,-4.4490306371097885,1.3074743747711182,-0.053345341235399246,0.19188369810581207,0.39452922344207764,False,True,42
0,2,-1.8608194035584047,0.7342169880867004,0.03373244032263756,0.07937563210725784,0.13409879803657532,False,False,43
1,2,-1.9211870569397071,0.7670310735702515,0.04302892088890076,0.09007915109395981,0.14070375263690948,False,False,43
2,2,-1.8990697989518575,0.7994375228881836,0.05242730304598808,0.10068076848983765,0.12032324075698853,False,False,43
3,2,-1.980522579376959,0.8321199417114258,0.06175669655203819,0.1113513708114624,0.1341211348772049,False,False,43
4,2,-1.9974871191176202,0.864652156829834,0.0711236447095871,0.12198442220687866,0.12661072611808777,False,False,43
5,2,-2.0189856067432026,0.8970673084259033,0.08051985502243042,0.1325882077217102,0.12075794488191605,False,False,43
6,2,-2.144722796845995,0.9300462603569031,0.08977512270212173,0.14333294332027435,0.14894667267799377,False,False,43
7,2,-2.0931780348839526,0.9624221920967102,0.0991811454296112,0.15392692387104034,0.11879520118236542,False,False,43
8,2,-2.3013529442174647,0.9956265091896057,0.10000000149011612,0.16472800076007843,0.16021466255187988,False,False,43
9,2,-2.291975456757268,1.028192162513733,0.10000000149011612,0.17536942660808563,0.12828408181667328,False,False,43
10,2,-2.348252448919984,1.0605602264404297,0.10000000149011612,0.18596144020557404,0.11840303987264633,False,False,43
11,2,-2.6406221816606705,1.0942820310592651,0.10000000149011612,0.1968919038772583,0.18609142303466797,False,False,43
12,2,-2.84749674240571,1.128880262374878,0.10000000149011612,0.20000000298023224,0.22991207242012024,False,False,43
13,2,-2.9559947090225056,1.1637370586395264,0.10000000149011612,0.20000000298023224,0.24284018576145172,False,False,43
14,2,-2.970331926340155,1.1982295513153076,0.10000000149011612,0.20000000298023224,0.22462427616119385,False,False,43
15,2,-3.0214472677896143,1.2326045036315918,0.10000000149011612,0.20000000298023224,0.2187461107969284,False,False,43
16,2,-3.127279892776061,1.2672233581542969,0.10000000149011612,0.20000000298023224,0.23094436526298523,False,False,43
17,2,-3.23033970549744,1.3020647764205933,0.10000000149011612,0.20000000298023224,0.2420700639486313,False,False,43
18,1,-3.269615435054818,1.2845581769943237,0.08750656247138977,0.19500000774860382,0.24934393167495728,False,False,43
19,2,-3.3336376425454017,1.319726586341858,0.09621446579694748,0.20000000298023224,0.2584189474582672,False,False,43
20,1,-3.3626830707524826,1.3023464679718018,0.08359459042549133,0.19500000774860382,0.26198768615722656,False,False,43
21,1,-3.2789159542635944,1.284633755683899,0.07130730897188187,0.1900000125169754,0.22872832417488098,False,False,43
22,2,-3.3069401173627098,1.3190984725952148,0.08019114285707474,0.20000000298023224,0.22323299944400787,False,False,43
23,1,-3.4375034205308133,1.301705241203308,0.06758442521095276,0.19500000774860382,0.2606717348098755,False,False,43
24,1,-3.36042700891092,1.2840014696121216,0.05528820678591728,0.1900000125169754,0.22962170839309692,False,False,43
25,2,-3.418572812233462,1.3186801671981812,0.06411853432655334,0.20000000298023224,0.23393504321575165,False,False,43
26,1,-3.390148914556623,1.3008736371994019,0.051925111562013626,0.19500000774860382,0.2193424254655838,False,False,43
27,1,-3.446458352812851,1.2832005023956299,0.03959828242659569,0.1900000125169754,0.2326829433441162,False,False,43
28,2,-3.4864979930089035,1.3178210258483887,0.04844316095113754,0.20000000298023224,0.23102395236492157,False,False,43
29,1,-3.6694377432060308,1.3006744384765625,0.03558970242738724,0.19500000774860382,0.28534576296806335,False,False,43
30,1,-3.766768181126273,1.2837798595428467,0.022484268993139267,0.1900000125169754,0.3105432689189911,False,False,43
31,2,-3.72698319226349,1.3194036483764648,0.03107832372188568,0.20000000298023224,0.2811891734600067,False,False,43
32,1,-3.8391865464958084,1.3025169372558594,0.017965063452720642,0.19500000774860382,0.3113260269165039,False,False,43
33,1,-3.8203340394172542,1.285497784614563,0.0049841986037790775,0.1900000125169754,0.2980864644050598,False,False,43
34,2,-3.8473047732635743,1.3213132619857788,0.013530315831303596,0.20000000298023224,0.2907765805721283,False,False,43
35,1,-3.9272617848838043,1.304415225982666,0.0004284043097868562,0.19500000774860382,0.31019115447998047,False,True,43
0,2,-2.6233307205007135,0.8429304361343384,-0.0004851212725043297,0.07265032827854156,0.26324787735939026,False,False,44
1,2,-2.651644183532654,0.878055989742279,0.00823348481208086,0.08393172174692154,0.25627872347831726,False,False,44
2,2,-2.8330154946131083,0.9140411019325256,0.016737213358283043,0.0954279974102974,0.29925447702407837,False,False,44
3,2,-2.9742161068288224,0.9506034851074219,0.025096621364355087,0.10706859081983566,0.32811835408210754,False,False,44
4,2,-3.217317313592834,0.9883918166160583,0.033149536699056625,0.11901567131280899,0.3894166648387909,False,False,44
