country,year,imf_debt_gdp
CAF,2005,102.96241
CAF,2006,46.749964
CAF,2007,47.850796
CAF,2008,35.765994
CAF,2009,20.300304
CAF,2010,19.883381
CAF,2011,19.686291
CAF,2012,31.532795
CAF,2013,51.789588
CAF,2014,62.239951
CAF,2015,59.790414
CAF,2016,53.8873
CAF,2017,50.274962
CAF,2018,50.031742
CAF,2019,48.15201
CAF,2020,44.39675
CAF,2021,48.524895
CAF,2022,51.02823
CAF,2023,58.183431
CAF,2024,60.665413
CAN,1990,51.215455
CAN,1991,56.091642
CAN,1992,59.251903
CAN,1993,62.688327
CAN,1994,63.286076
CAN,1995,64.376801
CAN,1996,64.694348
CAN,1997,61.647918
CAN,1998,58.888329
CAN,1999,53.070014
CAN,2000,46.328129
CAN,2001,46.145405
CAN,2002,43.056763
CAN,2003,40.596949
CAN,2004,36.679316
CAN,2005,36.236046
CAN,2006,33.791103
CAN,2007,29.90427
CAN,2008,36.24678
CAN,2009,43.669837
CAN,2010,44.071359
CAN,2011,44.954717
CAN,2012,45.275971
CAN,2013,42.589001
CAN,2014,40.574054
CAN,2015,43.166313
CAN,2016,42.878005
CAN,2017,41.282401
CAN,2018,39.649368
CAN,2019,39.087114
CAN,2020,60.604577
CAN,2021,55.882165
CAN,2022,48.656619
CAN,2023,50.967615
CAN,2024,52.002814
CHE,1990,10.982308
CHE,1991,11.791827
CHE,1992,14.055795
CHE,1993,16.550035
CHE,1994,17.727899
CHE,1995,19.374764
CHE,1996,20.627705
CHE,1997,22.25637
CHE,1998,24.322067
CHE,1999,22.481907
CHE,2000,22.151283
CHE,2001,21.685835
CHE,2002,24.93139
CHE,2003,24.942086
CHE,2004,24.809145
CHE,2005,24.582654
CHE,2006,21.745071
CHE,2007,19.499042
CHE,2008,18.711996
CHE,2009,17.572471
CHE,2010,16.673913
CHE,2011,16.390936
CHE,2012,16.374161
CHE,2013,16.005503
CHE,2014,15.401978
CHE,2015,14.708135
CHE,2016,13.706143
CHE,2017,14.173831
CHE,2018,12.816736
CHE,2019,12.269599
CHE,2020,13.850433
CHE,2021,13.494519
CHE,2022,13.849204
CHE,2023,14.037427
CHE,2024,13.651532
CHL,1990,49.904299
CHL,1991,43.947618
CHL,1992,35.864483
CHL,1993,32.341183
CHL,1994,28.853692
CHL,1995,22.149378
CHL,1996,16.8087
CHL,1997,14.332624
CHL,1998,14.597762
CHL,1999,15.968094
CHL,2000,15.492885
